Date,Price,Growth,Total Savings,UP,Buy,Total Savings Invested,Total Savings Left,Total Savings Left in UPs,Order,UPs,Montante Investido,Montante Total
2018-06-19,6771.989847527726,349.6341304973187,46250,0.051629452844640766,False,46120.0,130.0,0.01919672104166836,0.0,44.69858886559396,302698.38999661815,302828.38999661815
2018-06-20,6801.903496191626,351.1785558104227,46260,0.051629452844640766,False,46120.0,140.0,0.020582473726418752,0.0,44.69858886559396,304035.4878797156,304175.4878797156
2018-06-21,6691.2559178350675,345.4658818812891,46270,0.051629452844640766,False,46120.0,150.0,0.022417316247042,0.0,44.69858886559396,299089.6972657823,299239.6972657823
2018-06-22,6722.928099377424,347.10109928471707,46280,0.051629452844640766,False,46120.0,160.0,0.0237991538262646,0.0,44.69858886559396,300505.3990870205,300665.3990870205
2018-06-25,6484.696074655034,334.80131019822915,46290,0.051629452844640766,False,46120.0,170.0,0.02621556940261745,0.0,44.69858886559396,289856.7637593364,290026.7637593364
2018-06-26,6522.229358145395,336.7391330882993,46300,0.051629452844640766,False,46120.0,180.0,0.0275979255122643,0.0,44.69858886559396,291534.44856684783,291714.44856684783
2018-06-27,6381.95346937646,329.4967657038635,46310,0.051629452844640766,False,46120.0,190.0,0.029771448649963863,0.0,44.69858886559396,285264.31428700936,285454.31428700936
2018-06-28,6476.785709684462,334.3929023829971,46320,0.051629452844640766,False,46120.0,200.0,0.030879514772419986,0.0,44.69858886559396,289503.18160774,289703.18160774
2018-06-29,6500.70933068245,335.6280658451858,46330,0.051629452844640766,True,46120.0,210.0,0.03230416702510125,44.67926357977442,44.730893032619065,290782.5337069053,290992.5337069053
2018-07-02,6537.000242785028,337.50174578027486,46340,0.051629452844640766,False,46330.0,10.0,0.001529753652837497,0.0,44.730893032619065,292405.8586142219,292415.8586142219
2018-07-03,6477.175073175884,334.4130050070169,46350,0.051629452844640766,False,46330.0,20.0,0.00308776585070652,0.0,44.730893032619065,289729.825351777,289749.825351777
2018-07-05,6614.253932854693,341.4903115288011,46360,0.051629452844640766,False,46330.0,30.0,0.004535658942724034,0.0,44.730893032619065,295861.48516110325,295891.48516110325
2018-07-06,6759.6531547781315,348.99719380074475,46370,0.051629452844640766,False,46330.0,40.0,0.005917463379274953,0.0,44.730893032619065,302365.3222039866,302405.3222039866
2018-07-09,6918.286353553728,357.1873390565239,46380,0.051629452844640766,False,46330.0,50.0,0.007227223252231589,0.0,44.730893032619065,309461.12684984,309511.12684984
2018-07-10,6982.917099636782,360.5241891137329,46390,0.051629452844640766,False,46330.0,60.0,0.008592397581681288,0.0,44.730893032619065,312352.11783949943,312412.11783949943
2018-07-11,6850.206778387623,353.6724278408023,46400,0.051629452844640766,False,46330.0,70.0,0.010218669635032002,0.0,44.730893032619065,306415.8666553788,306485.8666553788
2018-07-12,7011.463806238614,361.998039956102,46410,0.051629452844640766,False,46330.0,80.0,0.011409885611734618,0.0,44.730893032619065,313629.0375189396,313709.0375189396
2018-07-13,7025.7169773849955,362.7339233836907,46420,0.051629452844640766,False,46330.0,90.0,0.012810080492809493,0.0,44.730893032619065,314266.594592864,314356.594592864
2018-07-16,7009.407277258924,361.89186249012147,46430,0.051629452844640766,False,46330.0,100.0,0.01426654152690435,0.0,44.730893032619065,313537.0471411306,313637.0471411306
2018-07-17,7083.37458521153,365.7107541281055,46440,0.051629452844640766,False,46330.0,110.0,0.01552932132512869,0.0,44.730893032619065,316845.6708810694,316955.6708810694
2018-07-18,7121.621918406661,367.68544301373686,46450,0.051629452844640766,False,46330.0,120.0,0.016850094174452875,0.0,44.730893032619065,318556.50825100375,318676.50825100375
2018-07-19,7052.411381573327,364.11214086594794,46460,0.051629452844640766,False,46330.0,130.0,0.01843341134915448,0.0,44.730893032619065,315460.6591311817,315590.6591311817
2018-07-20,7031.296063692391,363.0219685571145,46470,0.051629452844640766,False,46330.0,140.0,0.019910980668687826,0.0,44.730893032619065,314516.1521056998,314656.1521056998
2018-07-23,7065.290205842712,364.7770675162585,46480,0.051629452844640766,False,46330.0,150.0,0.021230550427490724,0.0,44.730893032619065,316036.74044196145,316186.74044196145
2018-07-24,7157.34695858969,369.5299072912394,46490,0.051629452844640766,False,46330.0,160.0,0.0223546519297881,0.0,44.730893032619065,320154.5212020168,320314.5212020168
2018-07-25,7316.12300141044,377.727427506912,46500,0.051629452844640766,False,46330.0,170.0,0.023236350723904793,0.0,44.730893032619065,327256.71538957435,327426.71538957435
