Date,TR
1900-06-01,24.1082486082963
1900-07-01,24.164099672126085
1900-08-01,24.55143180039271
1900-09-01,24.031821078827466
1900-10-01,24.962577036450458
1900-11-01,26.97695936637998
1900-12-01,28.664402448812822
1901-01-01,29.56307435880954
1901-02-01,30.3802729476191
1901-03-01,31.53466600827913
1901-04-01,34.24530609243684
1901-05-01,32.58601541231436
1901-06-01,35.89792782257463
1901-07-01,33.5569741645852
1901-08-01,34.08911509568687
1901-09-01,33.986538784741896
1901-10-01,33.67157320213695
1901-11-01,34.46295873589458
1901-12-01,33.976565545784204
1902-01-01,34.77136377597506
1902-02-01,35.139563720485484
1902-03-01,35.25108619197024
1902-04-01,36.52356905208007
1902-05-01,36.50640728243697
1902-06-01,36.35979731031854
1902-07-01,37.25056253404192
1902-08-01,38.316309147087416
1902-09-01,38.47277665533604
1902-10-01,37.32540992668063
1902-11-01,35.9581846530571
1902-12-01,35.19926452046106
1903-01-01,37.06259656039574
1903-02-01,36.91446537505061
1903-03-01,35.53725522005014
1903-04-01,34.157495718093706
1903-05-01,33.56836162114776
1903-06-01,31.78560837814256
1903-07-01,30.397412070595024
1903-08-01,29.4941873748039
1903-09-01,28.855816369192638
1903-10-01,27.992994778334893
1903-11-01,28.15653564942332
1903-12-01,29.531225922162307
1904-01-01,30.09942640798626
1904-02-01,29.361406572938606
1904-03-01,29.343404209015326
1904-04-01,30.139571005875702
1904-05-01,29.57501301683872
1904-06-01,29.690725802822072
1904-07-01,30.9916490320204
1904-08-01,32.11177539251792
1904-09-01,33.599924745930934
1904-10-01,35.641073795795094
1904-11-01,37.63924962758369
1904-12-01,38.07376765826083
1905-01-01,38.97078719246814
1905-02-01,40.747908363758675
1905-03-01,41.97254067341574
1905-04-01,41.529760174340716
1905-05-01,39.553513279187776
1905-06-01,40.08693383591413
1905-07-01,41.41392391601742
1905-08-01,43.023477203305255
1905-09-01,43.232920086877556
1905-10-01,43.911345092596235
1905-11-01,43.746627005290364
1905-12-01,44.89758351036883
1906-01-01,46.52209138370356
1906-02-01,46.26484960084043
1906-03-01,45.205769046134634
1906-04-01,44.666216458064035
1906-05-01,43.55848990996663
1906-06-01,44.20554150940161
1906-07-01,43.143646958438325
1906-08-01,46.41433049308024
1906-09-01,47.92678224342996
1906-10-01,46.57589630627895
1906-11-01,47.61713547725493
1906-12-01,47.270666614216225
1907-01-01,46.011374855344314
1907-02-01,44.6540351743589
1907-03-01,40.353021699777486
1907-04-01,40.634265758372415
1907-05-01,39.31840363201475
1907-06-01,38.14569311879379
1907-07-01,39.69541357302467
1907-08-01,36.81148308230739
1907-09-01,36.511880990279835
1907-10-01,32.63432434512789
1907-11-01,30.810464164256974
1907-12-01,32.48157695074353
1908-01-01,33.95879040542725
1908-02-01,32.81160998218212
1908-03-01,34.245392479518976
1908-04-01,36.1805458296346
1908-05-01,38.219561713780614
1908-06-01,38.35901458460261
1908-07-01,39.85350191871582
1908-08-01,41.65232074705526
1908-09-01,41.28571594369623
1908-10-01,41.87758097907572
1908-11-01,44.79911444113875
1908-12-01,45.89892330296546
1909-01-01,46.13721993088936
1909-02-01,44.899725666750825
1909-03-01,45.5992286956688
1909-04-01,47.731973327570756
1909-05-01,49.40828437538078
1909-06-01,50.36985878195442
1909-07-01,51.17949202291243
1909-08-01,52.50600139835326
1909-09-01,52.64906836457244
1909-10-01,52.94792940590498
1909-11-01,52.78205676576879
1909-12-01,53.497859132024985
1910-01-01,52.449335348870385
1910-02-01,50.67082565176027
1910-03-01,52.017169915292044
1910-04-01,50.85948881505173
1910-05-01,50.118572179272924
1910-06-01,47.803817593419005
1910-07-01,45.48470130543744
1910-08-01,46.68810458037013
1910-09-01,47.103038358268066
1910-10-01,49.369454408041996
1910-11-01,49.41595097554318
1910-12-01,48.13591367654843
1911-01-01,49.40606848415513
1911-02-01,50.35881616025705
1911-03-01,49.8713856430112
1911-04-01,49.757345361281544
1911-05-01,50.92970194234365
1911-06-01,52.05044491376192
1911-07-01,51.935138006155874
1911-08-01,49.55433182933015
1911-09-01,46.95235081355424
1911-10-01,47.32312561640058
1911-11-01,49.3225629977928
1911-12-01,49.640082569999166
1912-01-01,49.7947424453008
1912-02-01,49.45830816106617
1912-03-01,50.981313540769214
1912-04-01,52.67175555303342
1912-05-01,52.7177255459118
1912-06-01,52.81878937569903
1912-07-01,52.97515785392623
1912-08-01,54.291863336608984
1912-09-01,54.67017601980468
1912-10-01,54.66104912528433
1912-11-01,54.15195825870044
1912-12-01,52.306173750695756
1913-01-01,51.96219331857985
1913-02-01,50.220501215236965
1913-03-01,49.37084680049813
1913-04-01,49.416871225072015
1913-05-01,48.1697327761121
1913-06-01,45.849289079694955
1913-07-01,46.572527798230816
1913-08-01,47.919607598219706
1913-09-01,48.47541201612051
1913-10-01,47.04314797061261
1913-11-01,45.949263393646085
1913-12-01,45.99431122291788
1914-01-01,47.98320125961592
1914-02-01,48.71380486039939
1914-03-01,47.893612637019736
1914-04-01,46.840196212132284
1914-05-01,47.22542957629357
1914-06-01,47.08996040364993
1914-07-01,44.578185881818
1914-08-01,44.6718029030946
1914-09-01,44.76435609458397
1914-10-01,44.85584545628609
1914-11-01,44.946270988200986
1914-12-01,43.10434760880438
1915-01-01,43.95626934535033
1915-02-01,43.458342089908435
1915-03-01,44.66708191249647
1915-04-01,48.120453098971026
1915-05-01,47.08750373890565
1915-06-01,47.71099535088363
1915-07-01,47.62356499350894
1915-08-01,49.73582689643951
1915-09-01,51.67326414419369
1915-10-01,54.62849882330777
1915-11-01,56.63241311704247
1915-12-01,56.84363273903434
1916-01-01,56.03799540442128
1916-02-01,55.353293705666374
1916-03-01,55.271198090206184
1916-04-01,54.76916087118956
1916-05-01,56.07988139522058
1916-06-01,56.72966541207152
1916-07-01,56.049370413736035
1916-08-01,56.584383065959784
1916-09-01,59.00866716927262
1916-10-01,60.95198009147842
1916-11-01,62.473536107316214
1916-12-01,60.083953427032014
1917-01-01,58.79526663470413
1917-02-01,55.60143134003597
1917-03-01,57.45157056021192
1917-04-01,56.71599887045668
1917-05-01,54.92934497235567
1917-06-01,56.17826975614637
1917-07-01,54.75994375907728
1917-08-01,53.27779145172628
1917-09-01,50.856853357703265
1917-10-01,48.24325476364262
1917-11-01,44.36749417163694
1917-12-01,43.001774471878534
1918-01-01,45.7392093719821
1918-02-01,47.277411115737216
1918-03-01,46.46338016483103
1918-04-01,46.154914766355766
1918-05-01,47.76343316168231
1918-06-01,47.96167387772552
1918-07-01,48.47985728579401
1918-08-01,49.06152068628206
1918-09-01,48.93028041543994
1918-10-01,51.13242900578989
1918-11-01,52.55691287957699
1918-12-01,51.63487606828292
1919-01-01,51.428647523277625
1919-02-01,51.7450411891072
1919-03-01,53.440181227483706
1919-04-01,55.33557987483927
1919-05-01,59.278647299047705
1919-06-01,60.98171933949757
1919-07-01,63.084413711218666
1919-08-01,58.95458098322024
1919-09-01,59.999986588702725
1919-10-01,63.177440434424376
1919-11-01,61.422937735830786
1919-12-01,59.73111248667537
1920-01-01,59.24084856668053
1920-02-01,54.455311099335624
1920-03-01,58.39905363768919
1920-04-01,58.038890746653834
1920-05-01,54.50558830442209
1920-06-01,53.66947941090248
1920-07-01,53.71199151244148
1920-08-01,51.71690652350672
1920-09-01,53.66379214440063
1920-10-01,53.84119270215528
1920-11-01,51.21700957546633
1920-12-01,46.73790037211146
1921-01-01,48.904455735771826
1921-02-01,48.667287225794674
1921-03-01,47.53232926687049
1921-04-01,47.84454977734269
1921-05-01,49.40266606364492
1921-06-01,45.550868837237296
1921-07-01,45.51408008717395
1921-08-01,45.05790586304383
1921-09-01,46.27615327221449
1921-10-01,47.00587535140292
1921-11-01,49.63033013370122
1921-12-01,51.48565042503686
1922-01-01,51.513984576156666
1922-02-01,52.74269650857491
1922-03-01,54.82284705917912
1922-04-01,58.25330852362815
1922-05-01,60.626137300665405
1922-06-01,60.16073664652731
1922-07-01,60.691998581169656
1922-08-01,63.07914633890346
1922-09-01,64.82805557464127
1922-10-01,66.36588316000982
1922-11-01,63.17670684936368
1922-12-01,63.141634063003906
1923-01-01,64.11349001249101
1923-02-01,66.96013268909412
1923-03-01,68.15203688814519
1923-04-01,65.87701312483857
1923-05-01,62.874419869629335
1923-06-01,60.59191415862305
1923-07-01,58.66865325161893
1923-08-01,59.07115324663778
1923-09-01,59.54749212273338
1923-10-01,58.78278306236994
1923-11-01,60.65208245280351
1923-12-01,62.818365107564105
1924-01-01,64.98870238469623
1924-02-01,65.39657002760417
1924-03-01,64.25702699581988
1924-04-01,62.89404545079492
1924-05-01,62.78659838174456
