"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2014","216.32","216.49","216.60","216.32","1.98K","0.04%"
"Jun 13, 2014","216.23","216.32","216.32","216.23","32.00K","0.07%"
"Jun 12, 2014","216.08","216.09","216.27","215.98","12.67K","0.00%"
"Jun 11, 2014","216.08","216.06","216.08","215.94","0.25K","-0.01%"
"Jun 10, 2014","216.10","216.75","216.78","216.10","0.46K","-0.31%"
"Jun 09, 2014","216.78","216.93","217.00","216.78","0.84K","0.09%"
"Jun 06, 2014","216.59","216.14","216.97","216.14","0.34K","0.78%"
"Jun 05, 2014","214.92","214.68","214.97","214.40","0.52K","0.39%"
"Jun 04, 2014","214.08","214.48","214.56","214.08","0.58K","-0.16%"
"Jun 03, 2014","214.42","214.63","214.63","214.42","39.92K","-0.09%"
"Jun 02, 2014","214.62","214.70","214.81","214.62","14.04K","0.06%"
"May 30, 2014","214.50","214.53","214.60","214.35","1.27K","-0.03%"
"May 29, 2014","214.57","214.57","214.57","214.57","-","-0.13%"
"May 28, 2014","214.84","214.31","214.84","214.31","0.94K","0.28%"
"May 27, 2014","214.24","214.10","214.51","214.10","0.36K","0.08%"
"May 26, 2014","214.06","213.66","214.06","213.66","0.19K","0.27%"
"May 23, 2014","213.48","213.48","213.48","213.48","0.01K","0.19%"
"May 22, 2014","213.07","213.04","213.29","213.04","7.43K","-0.00%"
"May 21, 2014","213.08","212.78","213.08","212.78","2.15K","0.08%"
"May 20, 2014","212.92","213.57","213.57","212.92","8.70K","-0.29%"
"May 19, 2014","213.54","214.00","214.00","213.54","21.37K","-0.20%"
"May 16, 2014","213.97","213.86","213.97","213.60","0.35K","-0.00%"
"May 15, 2014","213.98","214.32","214.32","213.98","0.04K","-0.09%"
"May 14, 2014","214.17","213.77","214.29","213.77","0.56K","0.27%"
"May 13, 2014","213.60","213.27","213.66","213.20","18.74K","0.18%"
"May 12, 2014","213.22","213.35","213.35","213.21","0.06K","-0.07%"
"May 09, 2014","213.37","213.47","213.60","213.37","0.30K","-0.05%"
"May 08, 2014","213.48","212.83","213.48","212.83","0.08K","0.29%"
"May 07, 2014","212.87","213.11","213.11","212.87","0.29K","-0.08%"
"May 06, 2014","213.04","212.99","213.12","212.98","0.15K","0.06%"
"May 05, 2014","212.92","213.00","213.10","212.92","4.38K","0.02%"
"May 02, 2014","212.87","212.73","212.87","212.70","33.08K","0.09%"
"Apr 30, 2014","212.68","212.25","212.68","212.25","3.81K","0.28%"
"Apr 29, 2014","212.09","211.82","212.19","211.81","10.60K","0.03%"
"Apr 28, 2014","212.02","212.21","212.23","212.02","0.25K","-0.06%"
"Apr 25, 2014","212.14","212.02","212.25","212.02","3.52K","0.11%"
"Apr 24, 2014","211.91","211.86","212.10","211.86","0.12K","-0.11%"
"Apr 23, 2014","212.15","212.27","212.27","212.11","0.04K","0.07%"
"Apr 22, 2014","212.01","212.08","212.08","211.46","21.48K","-0.08%"
"Apr 17, 2014","212.17","212.57","212.57","212.17","0.02K","-0.15%"
"Apr 16, 2014","212.49","212.47","212.57","212.47","0.63K","0.01%"
"Apr 15, 2014","212.47","211.93","212.47","211.90","0.26K","0.30%"
"Apr 14, 2014","211.83","211.92","211.92","211.79","0.21K","0.05%"
"Apr 11, 2014","211.73","211.87","211.87","211.55","0.53K","-0.08%"
"Apr 10, 2014","211.91","211.84","211.91","211.70","0.11K","0.26%"
"Apr 09, 2014","211.35","211.27","211.48","211.27","0.32K","-0.06%"
"Apr 08, 2014","211.47","211.47","211.47","211.47","-","-0.13%"
"Apr 07, 2014","211.74","212.23","212.23","211.74","4.84K","-0.06%"
"Apr 04, 2014","211.86","211.22","211.86","211.17","1.90K","0.45%"
"Apr 03, 2014","210.91","210.44","210.91","210.43","0.19K","0.21%"
