Date,S&P 500,DD,<10,Shade
1978-02-07,90.33000183105469,-24.87524664346926,1,Same
1978-02-08,90.83000183105469,-24.459411639408057,1,Same
1978-02-09,90.30000305175781,-24.900195728490758,1,Same
1978-02-10,90.08000183105469,-25.08316414549987,1,Same
1978-02-13,89.86000061035156,-25.266132562508968,1,Same
1978-02-14,89.04000091552734,-25.9481017153638,1,Same
1978-02-15,88.83000183105469,-26.122751655652877,1,Same
1978-02-16,88.08000183105469,-26.74650416174469,1,Same
1978-02-17,87.95999908447266,-26.84630684696928,1,Same
1978-02-21,87.58999633789062,-27.15402703422447,1,Same
1978-02-22,87.55999755859375,-27.178976119245966,1,Same
1978-02-23,87.63999938964844,-27.11244099576291,1,Same
1978-02-24,88.48999786376953,-26.40552275788658,1,Same
1978-02-27,87.72000122070312,-27.045905872279853,1,Same
1978-02-28,87.04000091552734,-27.611441731608632,1,Same
1978-03-01,87.19000244140625,-27.486689961362543,1,Same
1978-03-02,87.31999969482422,-27.37857514455654,1,Same
1978-03-03,87.44999694824219,-27.270460327750524,1,Same
1978-03-06,86.9000015258789,-27.727875025134686,1,Same
1978-03-07,87.36000061035156,-27.345307582815003,1,Same
1978-03-08,87.83999633789062,-26.946109532193873,1,Same
1978-03-09,87.88999938964844,-26.904523493732302,1,Same
1978-03-10,88.87999725341797,-26.08117196232993,1,Same
1978-03-13,88.94999694824219,-26.022955315566897,1,Same
1978-03-14,89.3499984741211,-25.69028604329021,1,Same
1978-03-15,89.12000274658203,-25.881566591880745,1,Same
1978-03-16,89.51000213623047,-25.557215796324094,1,Same
1978-03-17,90.19999694824219,-24.98336780541389,1,Same
1978-03-20,90.81999969482422,-24.467730116128095,1,Same
1978-03-21,89.79000091552734,-25.324349209272,1,Same
1978-03-22,89.47000122070312,-25.59048335806563,1,Same
1978-03-23,89.36000061035156,-25.681967566570187,1,Same
1978-03-27,88.87000274658203,-26.089484093911352,1,Same
1978-03-28,89.5,-25.565534273044133,1,Same
1978-03-29,89.63999938964844,-25.44910097951808,1,Same
1978-03-30,89.41000366210938,-25.640381528108612,1,Same
1978-03-31,89.20999908447266,-25.806719336816265,1,Same
1978-04-03,88.45999908447266,-26.430471842908076,1,Same
1978-04-04,88.86000061035156,-26.09780257063139,1,Same
1978-04-05,89.63999938964844,-25.44910097951808,1,Same
1978-04-06,89.79000091552734,-25.324349209272,1,Same
1978-04-07,90.16999816894531,-25.008316890435378,1,Same
1978-04-10,90.48999786376953,-24.74218274164176,1,Same
1978-04-11,90.25,-24.94178176695232,1,Same
1978-04-12,90.11000061035156,-25.05821506047837,1,Same
1978-04-13,90.9800033569336,-24.334659869161968,1,Same
1978-04-14,92.91999816894531,-22.721224368098746,1,Same
1978-04-17,94.44999694824219,-21.448770270893636,1,Same
1978-04-18,93.43000030517578,-22.297070887317506,1,Same
1978-04-19,93.86000061035156,-21.93945253001933,1,Same
1978-04-20,94.54000091552734,-21.37391667069054,1,Same
1978-04-21,94.33999633789062,-21.54025447939819,1,Same
1978-04-24,95.7699966430664,-20.3509661139776,1,Same
1978-04-25,96.63999938964844,-19.627410922661205,1,Same
1978-04-26,96.81999969482422,-19.477710067393616,1,Same
1978-04-27,95.86000061035156,-20.276112513774503,1,Same
1978-04-28,96.83000183105469,-19.46939159067359,1,Same
1978-05-01,97.66999816894531,-18.770791829517297,1,Same
1978-05-02,97.25,-19.120091710095444,1,Same
1978-05-03,96.26000213623047,-19.943443241497818,1,Same
1978-05-04,95.93000030517578,-20.21789586701148,1,Same
1978-05-05,96.52999877929688,-19.71889513116576,1,Same
1978-05-08,96.19000244140625,-20.001659888260836,1,Same
1978-05-09,95.9000015258789,-20.242844952032968,1,Same
1978-05-10,95.91999816894531,-20.22621434373152,1,Same
1978-05-11,97.19999694824219,-19.161677748557004,1,Same
1978-05-12,98.06999969482422,-18.43812255724061,1,Same
1978-05-15,98.76000213623047,-17.864268221191782,1,Same
1978-05-16,99.3499984741211,-17.373585962066095,1,Same
1978-05-17,99.5999984741211,-17.165668460035487,1,Same
1978-05-18,98.62000274658203,-17.980701514717833,1,Same
1978-05-19,98.12000274658203,-18.396536518779037,1,Same
1978-05-22,99.08999633789062,-17.58982194081673,1,Same
1978-05-23,98.05000305175781,-18.45475316554206,1,Same
1978-05-24,97.08000183105469,-19.261474088642984,1,Same
1978-05-25,96.80000305175781,-19.494340675695078,1,Same
1978-05-26,96.58000183105469,-19.67730909270419,1,Same
1978-05-30,96.86000061035156,-19.44444250565209,1,Same
1978-05-31,97.23999786376953,-19.12841018681547,1,Same
1978-06-01,97.3499984741211,-19.036925978310926,1,Same
1978-06-02,98.13999938964844,-18.37990591047758,1,Same
1978-06-05,99.94999694824219,-16.874585226220372,1,Same
1978-06-06,100.31999969482422,-16.566865038965183,1,Same
1978-06-07,100.12000274658203,-16.73319650253422,1,Same
1978-06-08,100.20999908447266,-16.65834924746973,1,Same
1978-06-09,99.93000030517578,-16.891215834521834,1,Same
1978-06-12,99.55000305175781,-17.207248153358446,1,Same
1978-06-13,99.56999969482422,-17.190617545056984,1,Same
1978-06-14,99.4800033569336,-17.265464800121467,1,Same
1978-06-15,98.33999633789062,-18.21357444690854,1,Same
1978-06-16,97.41999816894531,-18.978709331547893,1,Same
1978-06-19,97.48999786376953,-18.920492684784872,1,Same
1978-06-20,96.51000213623047,-19.735525739467207,1,Same
1978-06-21,96.01000213623047,-20.151360743528425,1,Same
1978-06-22,96.23999786376953,-19.96008019493789,1,Same
1978-06-23,95.8499984741211,-20.28443099049454,1,Same
1978-06-26,94.5999984741211,-21.324018500647558,1,Same
1978-06-27,94.9800033569336,-21.00797983667233,1,Same
1978-06-28,95.4000015258789,-20.658679956094183,1,Same
1978-06-29,95.56999969482422,-20.517297577546636,1,Same
1978-06-30,95.52999877929688,-20.550565139288167,1,Same
1978-07-03,95.08999633789062,-20.916501973306378,1,Same
1978-07-05,94.2699966430664,-21.59847112616121,1,Same
1978-07-06,94.31999969482422,-21.55688508769965,1,Same
1978-07-07,94.88999938964844,-21.082833436875426,1,Same
1978-07-10,95.2699966430664,-20.766801118038803,1,Same
1978-07-11,95.93000030517578,-20.21789586701148,1,Same
1978-07-12,96.23999786376953,-19.96008019493789,1,Same
1978-07-13,96.25,-19.951761718217853,1,Same
1978-07-14,97.58000183105469,-18.845639084581777,1,Same
1978-07-17,97.77999877929688,-18.679307621012743,1,Same
1978-07-18,96.87000274658203,-19.436124028932056,1,Same
1978-07-19,98.12000274658203,-18.396536518779037,1,Same
1978-07-20,98.02999877929688,-18.471390118982136,1,Same
1978-07-21,97.75,-18.70425670603423,1,Same
1978-07-24,97.72000122070312,-18.729205791055726,1,Same
1978-07-25,98.44000244140625,-18.13040236998541,1,Same
1978-07-26,99.08000183105469,-17.598134072398164,1,Same
1978-07-27,99.54000091552734,-17.215566630078484,1,Same
1978-07-28,100.0,-16.8329991877588,1,Same
1978-07-31,100.68000030517578,-16.267463328430022,1,Same
1978-08-01,100.66000366210938,-16.28409393673148,1,Same
1978-08-02,102.91999816894531,-14.404524286874631,1,Same
1978-08-03,103.51000213623047,-13.913835682610332,1,Same
1978-08-04,103.91999816894531,-13.572854278752223,1,Same
1978-08-07,103.55000305175781,-13.880568120868798,1,Same
1978-08-08,104.01000213623047,-13.498000678549127,1,Same
1978-08-09,104.5,-13.09048415120795,1,Same
1978-08-10,103.66000366210938,-13.78908391236424,1,Same
1978-08-11,103.95999908447266,-13.539586717010687,1,Same
1978-08-14,103.97000122070312,-13.53126824029065,1,Same
1978-08-15,103.8499984741211,-13.631070925515242,1,Same
1978-08-16,104.6500015258789,-12.96573238096187,1,Same
1978-08-17,105.08000183105469,-12.608114023663685,1,Same
1978-08-18,104.7300033569336,-12.89919725747881,1,Same
1978-08-21,103.88999938964844,-13.597803363773709,1,Same
1978-08-22,104.30999755859375,-13.248503483195561,1,Same
1978-08-23,104.91000366210938,-12.749496402211236,1,Same
1978-08-24,105.08000183105469,-12.608114023663685,1,Same
1978-08-25,104.9000015258789,-12.757814878931262,1,Same
1978-08-28,103.95999908447266,-13.539586717010687,1,Same
1978-08-29,103.38999938964844,-14.013638367834924,1,Same
1978-08-30,103.5,-13.922154159330368,1,Same
1978-08-31,103.29000091552734,-14.096804099619442,1,Same
1978-09-01,103.68000030517578,-13.772453304062783,1,Same
1978-09-05,104.48999786376953,-13.098802627927986,1,Same
1978-09-06,105.37999725341797,-12.358616828310131,1,Same
1978-09-07,105.41999816894531,-12.325349266568598,1,Same
1978-09-08,106.79000091552734,-11.185959071190998,1,Same
1978-09-11,106.9800033569336,-11.027939739203385,1,Same
1978-09-12,106.98999786376953,-11.019627607621963,1,Same
1978-09-13,106.33999633789062,-11.560214381929246,1,Same
1978-09-14,105.0999984741211,-12.591483415362227,1,Same
1978-09-15,104.12000274658203,-13.406516470044572,1,Same
1978-09-18,103.20999908447266,-14.1633392231025,1,Same
1978-09-19,102.52999877929688,-14.72887508243128,1,Same
1978-09-20,101.7300033569336,-15.39420728184604,1,Same
1978-09-21,101.9000015258789,-15.252824903298501,1,Same
1978-09-22,101.83999633789062,-15.302729418480098,1,Same
1978-09-25,101.86000061035156,-15.286092465040035,1,Same
1978-09-26,102.62000274658203,-14.654021482228185,1,Same
1978-09-27,101.66000366210938,-15.452423928609072,1,Same
1978-09-28,101.95999908447266,-15.202926733255516,1,Same
1978-09-29,102.54000091552734,-14.720556605711243,1,Same
1978-10-02,102.95999908447266,-14.371256725133097,1,Same
1978-10-03,102.5999984741211,-14.67065843566826,1,Same
1978-10-04,103.05999755859375,-14.288090993348579,1,Same
1978-10-05,103.2699966430664,-14.113441053059505,1,Same
1978-10-06,103.5199966430664,-13.905523551028908,1,Same
1978-10-09,104.58999633789062,-13.015636896143468,1,Same
1978-10-10,104.45999908447266,-13.123751712949483,1,Same
1978-10-11,105.38999938964844,-12.350298351590094,1,Same
1978-10-12,104.87999725341797,-12.774451832371337,1,Same
1978-10-13,104.66000366210938,-12.957413904241832,1,Same
1978-10-16,102.61000061035156,-14.662339958948223,1,Same
1978-10-17,101.26000213623047,-15.785093200885758,1,Same
1978-10-18,100.48999786376953,-16.425482660417636,1,Same
1978-10-19,99.33000183105469,-17.390216570367556,1,Same
1978-10-20,97.94999694824219,-18.537925242465192,1,Same
1978-10-23,98.18000030517578,-18.346638348736054,1,Same
1978-10-24,97.48999786376953,-18.920492684784872,1,Same
1978-10-25,97.30999755859375,-19.07019354005245,1,Same
1978-10-26,96.02999877929688,-20.134730135226963,1,Same
1978-10-27,94.58999633789062,-21.332336977367582,1,Same
1978-10-30,95.05999755859375,-20.941451058327875,1,Same
1978-10-31,93.1500015258789,-22.52993747436961,1,Same
1978-11-01,96.8499984741211,-19.45276098237213,1,Same
1978-11-02,95.61000061035156,-20.48403001580511,1,Same
1978-11-03,96.18000030517578,-20.009978364980874,1,Same
1978-11-06,95.19000244140625,-20.83332989638326,1,Same
1978-11-07,93.8499984741211,-21.94777100673936,1,Same
1978-11-08,94.44999694824219,-21.448770270893636,1,Same
1978-11-09,94.41999816894531,-21.473719355915133,1,Same
1978-11-10,94.7699966430664,-21.182636122100007,1,Same
1978-11-13,93.12999725341797,-22.546574427809674,1,Same
1978-11-14,92.48999786376953,-23.07884272539693,1,Same
1978-11-15,92.70999908447266,-22.89587430838782,1,Same
1978-11-16,93.70999908447266,-22.06420430026541,1,Same
1978-11-17,94.41999816894531,-21.473719355915133,1,Same
1978-11-20,95.25,-20.78343172634026,1,Same
1978-11-21,95.01000213623047,-20.983030751650833,1,Same
1978-11-22,95.4800033569336,-20.592144832611115,1,Same
1978-11-24,95.79000091552734,-20.33432916053752,1,Same
1978-11-27,95.98999786376953,-20.167997696968488,1,Same
1978-11-28,95.1500015258789,-20.86659745812478,1,Same
1978-11-29,93.75,-22.030936738523877,1,Same
1978-11-30,94.69999694824219,-21.24085276886304,1,Same
1978-12-01,96.27999877929688,-19.926812633196356,1,Same
1978-12-04,96.1500015258789,-20.03492745000237,1,Same
1978-12-05,97.44000244140625,-18.96207237810783,1,Same
1978-12-06,97.48999786376953,-18.920492684784872,1,Same
1978-12-07,97.08000183105469,-19.261474088642984,1,Same
1978-12-08,96.62999725341797,-19.63572939938123,1,Same
1978-12-11,97.11000061035156,-19.236525003621484,1,Same
