,Portfolio
2011-12-12,116.96
2011-12-13,117.18
2011-12-14,116.79
2011-12-15,116.86
2011-12-16,117.01
2011-12-17,117.01
2011-12-18,117.01
2011-12-19,116.72
2011-12-20,117.47
2011-12-21,117.92
2011-12-22,118.15
2011-12-23,118.66
2011-12-24,118.66
2011-12-25,118.66
2011-12-26,118.6
2011-12-27,118.65
2011-12-28,118.87
2011-12-29,119.31
2011-12-30,119.32
2011-12-31,119.32
2012-01-01,119.32
2012-01-02,119.7
2012-01-03,119.94
2012-01-04,120.38
2012-01-05,120.88
2012-01-06,121.12
2012-01-07,121.12
2012-01-08,121.12
2012-01-09,121.14
2012-01-10,121.59
2012-01-11,121.99
2012-01-12,121.53
2012-01-13,122.05
2012-01-14,122.05
2012-01-15,122.05
2012-01-16,122.1
2012-01-17,122.44
2012-01-18,122.5
2012-01-19,122.53
2012-01-20,122.5
2012-01-21,122.5
2012-01-22,122.5
2012-01-23,122.29
2012-01-24,122.26
2012-01-25,122.82
2012-01-26,122.7
2012-01-27,123.02
2012-01-28,123.02
2012-01-29,123.02
2012-01-30,122.81
2012-01-31,123.16
2012-02-01,123.76
2012-02-02,123.96
2012-02-03,124.92
2012-02-04,124.92
2012-02-05,124.92
2012-02-06,125.07
2012-02-07,124.59
2012-02-08,124.61
2012-02-09,124.48
2012-02-10,124.66
2012-02-11,124.66
2012-02-12,124.66
2012-02-13,124.89
2012-02-14,125.2
2012-02-15,125.64
2012-02-16,125.74
2012-02-17,125.62
2012-02-18,125.62
2012-02-19,125.62
2012-02-20,125.59
2012-02-21,125.43
2012-02-22,125.32
2012-02-23,125.51
2012-02-24,125.17
2012-02-25,125.17
2012-02-26,125.17
2012-02-27,125.43
2012-02-28,125.39
2012-02-29,125.37
2012-03-01,125.95
2012-03-02,126.31
2012-03-03,126.31
2012-03-04,126.31
2012-03-05,126.03
2012-03-06,125.34
2012-03-07,125.55
2012-03-08,126.04
2012-03-09,127.02
2012-03-10,127.02
2012-03-11,127.02
2012-03-12,127.01
2012-03-13,127.85
2012-03-14,127.8
2012-03-15,127.91
2012-03-16,127.65
2012-03-17,127.65
2012-03-18,127.65
2012-03-19,127.56
2012-03-20,127.09
2012-03-21,127.43
2012-03-22,127.19
2012-03-23,126.97
2012-03-24,126.97
2012-03-25,126.97
2012-03-26,127.52
2012-03-27,127.59
2012-03-28,127.33
2012-03-29,127.17
2012-03-30,127.28
2012-03-31,127.28
2012-04-01,127.28
2012-04-02,127.92
2012-04-03,127.72
2012-04-04,127.54
2012-04-05,127.7
2012-04-06,127.44
2012-04-07,127.44
2012-04-08,127.44
2012-04-09,127.4
2012-04-10,126.02
2012-04-11,125.97
2012-04-12,126.48
2012-04-13,126.65
2012-04-14,126.65
2012-04-15,126.65
2012-04-16,126.8
2012-04-17,127.23
2012-04-18,127.26
2012-04-19,127.13
2012-04-20,126.88
2012-04-21,126.88
2012-04-22,126.88
2012-04-23,126.18
2012-04-24,126.17
2012-04-25,126.74
2012-04-26,127.11
2012-04-27,127.52
2012-04-28,127.52
2012-04-29,127.52
2012-04-30,127.48
2012-05-01,127.71
2012-05-02,128.14
2012-05-03,127.89
2012-05-04,127.11
2012-05-05,127.11
2012-05-06,127.11
2012-05-07,127.2
2012-05-08,126.85
2012-05-09,126.86
2012-05-10,126.92
2012-05-11,127.1
2012-05-12,127.1
2012-05-13,127.1
2012-05-14,126.64
2012-05-15,126.47
2012-05-16,125.96
2012-05-17,125.77
2012-05-18,124.47
2012-05-19,124.47
2012-05-20,124.47
2012-05-21,124.6
2012-05-22,125.34
2012-05-23,125.24
2012-05-24,125.75
2012-05-25,126.02
2012-05-26,126.02
2012-05-27,126.02
2012-05-28,126.02
2012-05-29,126.84
2012-05-30,126.54
2012-05-31,126.7
2012-06-01,125.26
2012-06-02,125.26
2012-06-03,125.26
2012-06-04,124.92
2012-06-05,125.1
2012-06-06,125.81
2012-06-07,125.76
2012-06-08,126.44
2012-06-09,126.44
2012-06-10,126.44
2012-06-11,126.13
2012-06-12,126.31
2012-06-13,125.79
2012-06-14,125.83
2012-06-15,126.29
2012-06-16,126.29
2012-06-17,126.29
2012-06-18,126.91
2012-06-19,127.22
2012-06-20,127.12
2012-06-21,127.09
2012-06-22,127.08
2012-06-23,127.08
2012-06-24,127.08
2012-06-25,126.87
2012-06-26,126.9
2012-06-27,127.64
2012-06-28,127.65
2012-06-29,128.15
2012-06-30,128.15
2012-07-01,128.15
2012-07-02,129.23
2012-07-03,129.98
2012-07-04,130.17
2012-07-05,131.03
2012-07-06,131.07
2012-07-07,131.07
2012-07-08,131.07
2012-07-09,130.67
2012-07-10,130.9
2012-07-11,130.69
2012-07-12,130.8
2012-07-13,131.51
2012-07-14,131.51
2012-07-15,131.51
2012-07-16,131.51
2012-07-17,131.47
2012-07-18,132.15
2012-07-19,132.67
2012-07-20,132.49
2012-07-21,132.49
2012-07-22,132.49
2012-07-23,131.56
2012-07-24,131.16
2012-07-25,130.69
2012-07-26,130.98
2012-07-27,131.66
2012-07-28,131.66
2012-07-29,131.66
2012-07-30,132.38
2012-07-31,132.16
2012-08-01,131.95
2012-08-02,132.06
2012-08-03,132.48
2012-08-04,132.48
2012-08-05,132.48
2012-08-06,132.73
2012-08-07,132.93
2012-08-08,133.35
2012-08-09,133.94
2012-08-10,133.96
2012-08-11,133.96
2012-08-12,133.96
2012-08-13,133.45
2012-08-14,133.74
2012-08-15,133.73
2012-08-16,134.14
2012-08-17,134.62
2012-08-18,134.62
2012-08-19,134.62
2012-08-20,134.5
2012-08-21,134.02
2012-08-22,133.63
2012-08-23,133.21
2012-08-24,133.41
2012-08-25,133.41
2012-08-26,133.41
2012-08-27,133.5
2012-08-28,133.44
2012-08-29,133.63
2012-08-30,133.27
2012-08-31,133.27
2012-09-01,133.27
2012-09-02,133.27
2012-09-03,133.37
2012-09-04,133.45
2012-09-05,133.44
2012-09-06,134.37
2012-09-07,133.87
2012-09-08,133.87
2012-09-09,133.87
2012-09-10,133.74
2012-09-11,133.5
2012-09-12,133.39
