"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2017","105.37","105.26","105.34","105.24","2.29K","0.24%"
"Nov 15, 2017","105.12","104.97","105.05","104.97","0.21K","-0.20%"
"Nov 14, 2017","105.33","105.38","105.38","105.38","0.24K","-0.92%"
"Nov 13, 2017","106.31","106.52","106.52","106.31","12.44K","-0.07%"
"Nov 10, 2017","106.38","106.53","106.54","106.52","0.20K","-0.31%"
"Nov 09, 2017","106.71","106.77","106.79","106.77","0.18K","-0.56%"
"Nov 08, 2017","107.31","107.20","107.22","107.20","0.20K","-0.19%"
"Nov 07, 2017","107.51","107.54","107.54","107.40","1.13K","0.21%"
"Nov 06, 2017","107.28","107.13","107.29","107.13","0.28K","0.26%"
"Nov 03, 2017","107.00","106.63","106.63","106.59","0.16K","0.44%"
"Nov 02, 2017","106.53","106.46","106.46","106.42","0.13K","-0.12%"
"Oct 31, 2017","106.66","106.84","106.84","106.67","0.17K","-0.17%"
"Oct 30, 2017","106.84","106.91","106.92","106.91","0.25K","-0.21%"
"Oct 27, 2017","107.06","106.38","106.87","106.38","1.02K","1.06%"
"Oct 26, 2017","105.94","105.25","105.66","105.25","0.41K","1.01%"
"Oct 25, 2017","104.88","104.84","104.84","104.83","0.09K","-0.49%"
"Oct 24, 2017","105.40","105.61","105.61","105.41","0.18K","-0.28%"
"Oct 23, 2017","105.70","105.56","105.73","105.56","0.85K","0.40%"
"Oct 20, 2017","105.28","105.13","105.27","105.13","0.26K","0.28%"
"Oct 19, 2017","104.99","105.56","105.56","105.06","0.14K","-0.48%"
"Oct 18, 2017","105.50","105.51","105.55","105.51","0.09K","-0.26%"
"Oct 17, 2017","105.77","105.74","105.80","105.73","0.45K","0.37%"
"Oct 16, 2017","105.38","105.60","105.60","105.43","0.31K","0.16%"
"Oct 13, 2017","105.21","105.13","105.13","104.97","0.18K","0.19%"
"Oct 12, 2017","105.01","104.93","104.98","104.93","0.10K","0.05%"
"Oct 11, 2017","104.96","104.89","105.00","104.88","0.20K","-0.39%"
"Oct 10, 2017","105.37","105.42","105.45","105.42","0.34K","-0.47%"
"Oct 09, 2017","105.87","105.81","105.92","105.81","0.09K","-0.10%"
"Oct 06, 2017","105.98","106.15","106.27","106.06","1.06K","-0.17%"
"Oct 05, 2017","106.16","106.04","106.16","106.04","0.18K","0.37%"
"Oct 04, 2017","105.77","105.83","105.93","105.81","0.38K","-0.03%"
"Oct 03, 2017","105.80","105.92","105.92","105.73","0.38K","-0.12%"
"Oct 02, 2017","105.93","105.79","105.88","105.79","0.35K","0.61%"
"Sep 29, 2017","105.29","105.31","105.39","105.31","0.30K","-0.24%"
"Sep 28, 2017","105.54","105.84","105.84","105.58","0.09K","-0.39%"
"Sep 27, 2017","105.95","106.18","106.18","106.08","0.39K","0.01%"
"Sep 26, 2017","105.94","105.61","105.85","105.61","0.17K","0.67%"
"Sep 25, 2017","105.24","104.68","104.94","104.68","0.21K","1.07%"
"Sep 22, 2017","104.13","103.92","104.26","103.92","0.41K","-0.29%"
"Sep 21, 2017","104.43","104.51","104.54","104.51","0.14K","0.35%"
"Sep 20, 2017","104.07","104.02","104.02","104.02","0.04K","-0.15%"
"Sep 19, 2017","104.23","104.00","104.28","103.97","12.45K","-0.19%"
"Sep 18, 2017","104.43","104.55","104.55","104.43","0.38K","0.01%"
"Sep 15, 2017","104.42","104.31","104.41","104.31","0.21K","-0.78%"
"Sep 14, 2017","105.24","105.13","105.18","105.13","0.19K","0.05%"
"Sep 13, 2017","105.19","104.93","105.08","104.93","0.04K","0.51%"
"Sep 12, 2017","104.66","104.90","104.96","104.89","0.14K","-0.08%"
