Date,Close,CBR
2012-03-02,1369.63,321.17
2012-03-05,1364.33,319.45
2012-03-06,1343.36,314.45
2012-03-07,1352.63,314.24
2012-03-08,1365.91,316.04
2012-03-09,1370.87,317.61
2012-03-12,1371.09,315.99
2012-03-13,1395.95,318.07
2012-03-14,1394.28,315.17
2012-03-15,1402.6,315.9
2012-03-16,1404.17,317.93
2012-03-19,1409.75,319.42
2012-03-20,1405.52,315.53
2012-03-21,1402.89,315.98
2012-03-22,1392.78,312.27
2012-03-23,1397.11,314.47
2012-03-26,1416.51,315.01
2012-03-27,1412.52,315.43
2012-03-28,1405.54,311.47
2012-03-29,1403.28,305.94
2012-03-30,1408.47,308.46
2012-04-02,1419.04,312.25
2012-04-03,1413.38,310.75
2012-04-04,1398.96,304.96
2012-04-05,1398.08,306.48
2012-04-09,1382.2,304.82
2012-04-10,1358.59,300.45
2012-04-11,1368.71,302.1
2012-04-12,1387.57,305.61
2012-04-13,1370.26,302.85
2012-04-16,1369.57,300.76
2012-04-17,1390.78,302.04
2012-04-18,1385.14,299.15
2012-04-19,1376.92,299.3
2012-04-20,1378.53,301.2
2012-04-23,1366.94,300.4
2012-04-24,1371.97,301.29
2012-04-25,1390.69,302.08
2012-04-26,1399.98,303.28
2012-04-27,1403.36,305.51
2012-04-30,1397.91,305.95
2012-05-01,1405.82,307.95
2012-05-02,1402.31,304.09
2012-05-03,1391.57,301.46
2012-05-04,1369.1,297.15
2012-05-07,1369.58,297.46
2012-05-08,1363.72,295.13
2012-05-09,1354.58,294.83
2012-05-10,1357.99,294.59
2012-05-11,1353.39,291.8
2012-05-14,1338.35,288.45
2012-05-15,1330.66,289.14
2012-05-16,1324.8,289.35
2012-05-17,1304.86,289.55
2012-05-18,1295.22,290.43
2012-05-21,1315.99,289.8
2012-05-22,1316.63,286.5
2012-05-23,1318.86,281.44
2012-05-24,1320.68,281.92
2012-05-25,1317.82,281.95
2012-05-29,1332.42,279.74
2012-05-30,1313.32,275.05
2012-05-31,1310.33,272.97
2012-06-01,1278.04,268.31
2012-06-04,1278.18,270.0
2012-06-05,1285.5,270.38
2012-06-06,1315.13,273.78
2012-06-07,1314.99,274.01
2012-06-08,1325.66,272.88
2012-06-11,1308.93,270.75
2012-06-12,1324.18,270.86
2012-06-13,1314.88,269.29
2012-06-14,1329.1,272.06
2012-06-15,1342.84,272.23
2012-06-18,1344.78,273.62
2012-06-19,1357.98,277.21
2012-06-20,1355.69,272.91
